"","gene","cntA","cntB","med_pa_len_A","med_pa_len_B","iso_pa_pval","iso_pa_sig","iso_pa_diff"
"1773","H2AFY2",11,29,133,118,0.429397222222222,"False",15
"1774","H2AFZ",1192,1539,84,80,0.484529569892473,"False",4
"1775","H3F3A",5,9,173,82,0,"True",91
"1776","H3F3AP4",42,76,69.5,76,0.471515477214101,"False",6.5
"1777","H3F3B",927,936,105,97,0.477460317460318,"False",8
"1780","HACD3",8,20,118.5,103.5,0.414298349056604,"False",15
"1781","HACL1",6,8,53.5,82,0.22873730964467,"False",28.5
"1782","HADH",11,17,56,84,0.225271668822769,"False",28
"1783","HADHA",5,27,89,73,0.400468164794007,"False",16
"1784","HARS",52,57,90.5,111,0.371818505338078,"False",20.5
"1785","HAT1",13,16,133,79.5,0.0462878787878788,"True",53.5
"1786","HAUS1",57,146,101,89,0.447034643226474,"False",12
"1788","HAUS6",7,7,77,152,0,"True",75
"1789","HAUS8",10,25,119.5,93,0.286223709369025,"False",26.5
"1790","HAX1",32,28,91,99,0.467461746174617,"False",8
"1793","HBS1L",10,6,62.5,96,0.174294770206022,"False",33.5
"1795","HDAC1",19,70,72,87,0.4042,"False",15
"1796","HDAC2",31,42,108,104,0.491544550810015,"False",4
"1797","HDAC3",10,32,128,121.5,0.478686219365207,"False",6.5
"1799","HDAC6",12,36,128,122,0.478152480839048,"False",6
"1800","HDAC8",11,10,82,83,0.502149579831933,"False",1
"1802","HDDC2",57,28,73,90,0.398058191018343,"False",17
"1803","HDDC3",8,8,116.5,86,0.243826291079812,"False",30.5
"1804","HDGF",30,32,118,124,0.484286263947672,"False",6
"1806","HDLBP",19,28,120,72.5,0.0810344827586208,"False",47.5
"1813","HELLS",5,10,184,168.5,0.449446410515672,"False",15.5
"1816","HES6",8,14,188,101.5,0,"True",86.5
"1822","HIBCH",18,14,106.5,64,0.0889805825242719,"False",42.5
"1823","HIF1A",5,7,186,102,0,"True",84
"1826","HIGD2A",37,30,98,114,0.399558823529412,"False",16
"1828","HINT1",156,243,93.5,94,0.505606060606061,"False",0.5
"1832","HIRIP3",12,35,91.5,90,0.493792184724689,"False",1.5
"1834","HK1",9,8,66,95.5,0.222255291005291,"False",29.5
"1836","HKR1",5,5,108,54,0.0393347639484979,"True",54
"1838","HM13",5,15,209,99,0,"True",110
"1839","HMBS",13,21,84,84,0.507649784839457,"False",0
"1840","HMCES",22,23,95.5,71,0.280779220779221,"False",24.5
"1841","HMG20A",10,13,79.5,120,0.135385356454721,"False",40.5
"1843","HMGA1",76,49,121.5,108,0.441745233050848,"False",13.5
"1844","HMGA2",8,10,105,103,0.496687953054884,"False",2
"1845","HMGB1",188,237,92,96,0.489898838516298,"False",4
"1847","HMGB2",72,104,130,102,0.266756756756757,"False",28
"1848","HMGB3",32,62,74.5,86,0.429397222222222,"False",11.5
"1850","HMGCR",10,16,151.5,173,0.381875,"False",21.5
"1851","HMGCS1",9,24,129,150,0.370964285714286,"False",21
"1852","HMGN1",52,100,81.5,87,0.478152480839048,"False",5.5
"1853","HMGN2",391,1263,94,113,0.36268390386016,"False",19
"1854","HMGN2P3",407,1433,92,97,0.478152480839048,"False",5
"1855","HMGN2P5",287,1215,85,85,0.510343347639485,"False",0
"1856","HMGN3",60,125,109,121,0.457300334768053,"False",12
"1857","HMGN4",9,15,68,66,0.493792184724689,"False",2
"1861","HMOX2",15,14,65,75,0.449853756933939,"False",10
"1862","HN1",100,77,72,78,0.475078389830508,"False",6
"1863","HN1L",12,26,96,131,0.20907122905028,"False",35
"1864","HNRNPA0",8,17,96.5,153,0.0545535714285715,"False",56.5
"1865","HNRNPA1",143,308,68,73,0.475840927920464,"False",5
"1867","HNRNPA1P48",78,116,68,54.5,0.38725352112676,"False",13.5
"1868","HNRNPA1P7",75,117,80,80,0.509166666666667,"False",0
"1869","HNRNPA2B1",133,273,127,112,0.431115107913669,"False",15
"1870","HNRNPA3",44,55,98,108,0.451582341269841,"False",10
"1871","HNRNPAB",19,32,81,83.5,0.496687953054884,"False",2.5
"1872","HNRNPC",566,667,103,91,0.449446410515672,"False",12
"1873","HNRNPCP2",12,7,100.5,79,0.330474814203138,"False",21.5
"1874","HNRNPD",51,97,91,123,0.237281553398058,"False",32
"1875","HNRNPDL",62,107,108,119,0.460064133016627,"False",11
"1876","HNRNPF",19,40,78,88.5,0.447034643226474,"False",10.5
"1877","HNRNPH1",24,37,151,123,0.299345238095238,"False",28
"1878","HNRNPH3",95,136,96,93.5,0.485863844393593,"False",2.5
"1879","HNRNPK",234,290,109,98,0.454524390243903,"False",11
"1881","HNRNPLL",7,8,56,124,0,"True",68
"1882","HNRNPM",10,24,122.5,116,0.48562476117692,"False",6.5
"1883","HNRNPR",83,146,120,93.5,0.276888217522659,"False",26.5
"1884","HNRNPU",8,8,110,129.5,0.391459709379128,"False",19.5
"1885","HNRNPUL1",21,24,119,95,0.324288121314238,"False",24
"1887","HOXB2",8,14,84,145.5,0.0167857142857143,"True",61.5
"1889","HP1BP3",6,12,190,233.5,0.233551171393342,"False",43.5
"1891","HPS1",5,5,79,79,0.506460132890365,"False",0
"1892","HRAS",6,6,94,101,0.475476487723679,"False",7
"1893","HRSP12",6,12,73.5,98.5,0.256806768558952,"False",25
"1897","HSBP1",363,774,122,104,0.388260869565217,"False",18
"1898","HSCB",7,10,168,92,0,"True",76
"1899","HSD17B10",16,37,83.5,76,0.468126660761736,"False",7.5
"1901","HSD17B4",9,14,74,106.5,0.207118644067797,"False",32.5
"1902","HSDL1",9,10,67,108,0.110972222222222,"False",41
"1903","HSDL2",6,9,48,84,0.0859462915601024,"False",36
"1905","HSP90AA1",150,144,75,75,0.503896494156928,"False",0
"1906","HSP90AB1",577,350,98,95,0.496910247592847,"False",3
"1907","HSP90B1",32,69,131.5,154,0.37619957537155,"False",22.5
"1908","HSPA14",8,10,90.5,78.5,0.431884931506849,"False",12
"1909","HSPA4",23,8,109,104.5,0.485863844393593,"False",4.5
"1911","HSPA5",30,82,90.5,109.5,0.370369440459111,"False",19
"1912","HSPA8",439,438,52,75,0.283484698914116,"False",23
"1913","HSPA9",29,29,101,105,0.484586206896552,"False",4
"1914","HSPB1",47,103,151,146,0.4875,"False",5
"1915","HSPB11",10,18,68,116.5,0.0666199376947041,"False",48.5
"1918","HSPD1",203,131,75,62,0.431135611907387,"False",13
"1921","HTATSF1",9,19,130,112,0.403312769895126,"False",18
"1923","HTRA2",6,8,92,61,0.201281112737921,"False",31
"1924","HTT",5,6,167,194,0.36268390386016,"False",27
"1926","HUWE1",5,5,141,116,0.342121451104101,"False",25
"1927","HYAL2",10,14,148.5,172.5,0.370964285714286,"False",24
"1929","HYOU1",49,28,167,159.5,0.478152480839048,"False",7.5
"1930","IARS",18,21,64,83,0.36268390386016,"False",19
"1931","IARS2",10,9,163.5,130,0.272657200811359,"False",33.5
"1935","ID3",6,118,142.5,127.5,0.428861856823266,"False",15
"1937","IDH1",54,181,69,77,0.460244869402985,"False",8
"1939","IDH3A",9,12,79,94.5,0.41593896713615,"False",15.5
"1940","IDH3B",18,20,134,80.5,0.0462878787878788,"True",53.5
"1941","IDH3G",9,18,102,146,0.135385356454721,"False",44
"1942","IDI1",38,55,89,101,0.439227685729556,"False",12
"1945","IFI27L1",8,6,139.5,175,0.248823529411765,"False",35.5
"1946","IFITM2",30,5,86.5,125,0.169722222222222,"False",38.5
"1947","IFNAR1",5,10,95,55.5,0.105800865800866,"False",39.5
"1949","IFNGR1",6,14,131.5,108.5,0.35437073540561,"False",23
"1950","IFRD1",6,10,197.5,92.5,0,"True",105
"1953","IFT22",16,49,58,92,0.185295489891135,"False",34
"1954","IFT43",27,52,88,110.5,0.336442926045016,"False",22.5
"1956","IFT52",15,35,76,89,0.440593849416755,"False",13
"1957","IFT57",13,25,91,91,0.51553125,"False",0
"1963","IGF2BP3",8,16,112,112,0.49824480762683,"False",0
"1965","IGFBP2",23,29,115,100,0.424890804597701,"False",15
"1968","IK",11,16,134,83,0.0666199376947041,"False",51
"1971","IL13RA2",14,5,118,84,0.219667110519308,"False",34
"1976","ILF2",537,776,107,110.5,0.489898838516298,"False",3.5
"1977","ILF3",32,41,155,118,0.232362842892768,"False",37
"1979","ILK",17,25,139,117,0.357792792792793,"False",22
"1980","ILVBL",7,8,58,119,0.0167857142857143,"True",61
"1981","IMMP1L",7,29,164,116,0.148765217391304,"False",48
"1982","IMMT",12,19,105.5,76,0.227166666666667,"False",29.5
"1984","IMP4",13,18,119,122.5,0.493792184724689,"False",3.5
"1985","IMPA1",8,7,112,68,0.0859462915601024,"False",44
"1989","IMPDH2",76,67,101,85,0.40633923123856,"False",16
"1992","ING3",9,18,90,154,0.0167857142857143,"True",64
"1994","INIP",13,12,118,85.5,0.247326111744584,"False",32.5
"1998","INTS10",7,7,48,151,0,"True",103
"1999","INTS12",19,19,67,77,0.440593849416755,"False",10
"2004","IP6K2",35,73,144,124,0.39,"False",20
"2007","IPO5",30,23,124.5,100,0.299345238095238,"False",24.5
"2008","IPO7",19,26,106,93,0.444795336787565,"False",13
"2010","IPO9",10,15,93,124,0.259510752688172,"False",31
"2012","IQCB1",12,11,125,184,0.0759530386740332,"False",59
"2015","IRF2BP2",6,13,154,142,0.449446410515672,"False",12
"2019","ISCA1",6,12,138.5,134,0.48562476117692,"False",4.5
"2021","ISCU",15,24,60,94,0.167189054726368,"False",34
"2023","ISG20L2",6,9,99.5,124,0.333318293683347,"False",24.5
"2024","ISOC1",8,13,127,104,0.342121451104101,"False",23
"2025","ISOC2",10,12,99,88.5,0.43876741693462,"False",10.5
"2026","IST1",18,35,71.5,111,0.123434343434344,"False",39.5
"2028","ISYNA1",9,24,205,193,0.46552380952381,"False",12
"2032","ITGAE",13,26,144,114.5,0.283484698914116,"False",29.5
"2033","ITGB1BP1",7,14,40,53,0.411109449760766,"False",13
"2034","ITGB3BP",15,20,80,102,0.301352941176471,"False",22
"2035","ITM2B",9,17,71,128,0.0462878787878788,"True",57
"2036","ITM2C",10,9,169,160,0.475476487723679,"False",9
"2037","ITPA",13,12,72,122.5,0.0759530386740332,"False",50.5
"2038","IVNS1ABP",27,29,102,155,0.0666199376947041,"False",53
"2039","IWS1",7,6,167,139.5,0.335334947538337,"False",27.5
"2042","JAGN1",6,14,79.5,109.5,0.237814371257485,"False",30
"2044","JKAMP",32,63,83.5,103,0.36268390386016,"False",19.5
"2046","JMJD8",37,64,83,109.5,0.28576181292189,"False",26.5
"2048","JTB",6,7,123,120,0.491544550810015,"False",3
"2050","JUNB",9,7,176,145,0.304950539568345,"False",31
"2051","JUND",147,125,169,162,0.475476487723679,"False",7
"2052","KANSL2",6,6,122,142.5,0.380811281337047,"False",20.5
"2053","KARS",64,60,56.5,68.5,0.428591470258137,"False",12
"2059","KATNBL1",5,8,46,185,0,"True",139
"2064","KCMF1",6,11,80.5,118,0.169722222222222,"False",37.5
"2068","KCTD10",6,8,116.5,114.5,0.493792184724689,"False",2
"2074","KDM1A",35,21,117,120,0.493792184724689,"False",3
"2077","KDM5B",6,10,100.5,128,0.28576181292189,"False",27.5
"2078","KDM5C",6,6,160.5,176,0.440593849416755,"False",15.5
"2080","KEAP1",10,50,151,120.5,0.263694736842105,"False",30.5
"2081","KHDRBS1",27,40,77,91,0.421990713871155,"False",14
"2082","KHSRP",19,22,150,143.5,0.481740827478532,"False",6.5
"2083","KIAA0100",32,75,108.5,113,0.490392923649907,"False",4.5
"2092","KIAA1586",7,9,142,65,0,"True",77
"2098","KIF20A",5,15,128,121,0.468126660761736,"False",7
"2100","KIF22",40,46,113.5,124,0.460244869402985,"False",10.5
"2101","KIF2C",6,16,126.5,83,0.096764705882353,"False",43.5
"2105","KIF5C",8,15,114,109,0.480277777777778,"False",5
"2106","KIF9",6,7,56.5,98,0.0462878787878788,"True",41.5
"2114","KLHDC3",8,24,68,99.5,0.174294770206022,"False",31.5
"2115","KLHDC8B",11,116,75,103.5,0.256806768558952,"False",28.5
"2120","KLHL7",5,8,144,121,0.370964285714286,"False",23
"2124","KNOP1",22,10,55.5,58.5,0.493792184724689,"False",3
"2125","KNSTRN",20,27,97.5,88,0.454621909840039,"False",9.5
"2126","KPNA1",19,12,140,132.5,0.471228758169935,"False",7.5
"2127","KPNA2",471,635,100,99,0.496687953054884,"False",1
"2129","KPNB1",112,126,114.5,95,0.374567682494685,"False",19.5
"2134","KXD1",8,8,80,112.5,0.207118644067797,"False",32.5
"2140","LAMC1",7,5,169,96,0,"True",73
"2141","LAMP1",8,9,171.5,131,0.207118644067797,"False",40.5
"2142","LAMP2",15,9,133,98,0.232362842892768,"False",35
"2143","LAMTOR1",24,43,115,128,0.442870321560358,"False",13
"2144","LAMTOR2",56,92,111.5,94,0.391459709379128,"False",17.5
"2145","LAMTOR3",18,24,77,84,0.470718027062418,"False",7
"2146","LAMTOR4",72,89,127,119,0.468126660761736,"False",8
"2147","LAMTOR5",65,122,115,132,0.420151515151515,"False",17
"2150","LAP3",16,13,95,105,0.460244869402985,"False",10
"2151","LAPTM4A",35,49,72,100,0.240608591885441,"False",28
"2152","LAPTM4B",19,19,83,102,0.378647887323944,"False",19
"2153","LARP1",9,10,126,133.5,0.479239475774424,"False",7.5
"2155","LARP7",10,15,95,82,0.423815028901734,"False",13
"2156","LARS",17,11,96,131,0.224220183486239,"False",35
"2157","LAS1L",12,20,104,66,0.159436026936027,"False",38
"2160","LBR",7,13,79,101,0.321166666666667,"False",22
"2161","LCMT1",40,35,73,99,0.264681628392484,"False",26
"2166","LDHA",261,28,68,75,0.46552380952381,"False",7
"2167","LDHB",638,559,94,87,0.477460317460318,"False",7
"2170","LEF1",11,6,116,123.5,0.475476487723679,"False",7.5
"2171","LENG8",8,5,204.5,313,0,"True",108.5
"2172","LEO1",14,15,130,108,0.325866666666667,"False",22
"2174","LEPROTL1",19,30,70,103,0.20907122905028,"False",33
"2176","LETMD1",5,10,115,61,0.0167857142857143,"True",54
"2178","LGMN",11,13,126,115,0.451582341269841,"False",11
"2183","LIG3",6,6,140,184.5,0.167189054726368,"False",44.5
"2185","LIMD2",22,28,145.5,171,0.353663366336634,"False",25.5
"2186","LIMK1",6,11,150,151,0.509839722405816,"False",1
"2187","LIN28A",9,20,99,126.5,0.28576181292189,"False",27.5
"2189","LINC00116",10,14,90.5,127.5,0.178007874015748,"False",37
"2195","LINC00665",10,11,141.5,150,0.475476487723679,"False",8.5
"2197","LINC00888",5,5,54,170,0,"True",116
"2199","LINC00998",5,8,64,105,0.0943349168646082,"False",41
"2202","LINC01420",45,41,123,127,0.484586206896552,"False",4
"2210","LLNLR-245B6.1",18,65,147.5,129,0.398058191018343,"False",18.5
"2211","LMAN2",17,29,104,92,0.451582341269841,"False",12
"2212","LMNB2",11,13,152,122,0.267982456140351,"False",30
"2217","LPCAT4",11,6,202,226,0.39,"False",24
"2222","LRP4",7,11,187,120,0.0393347639484979,"True",67
"2223","LRPAP1",13,32,96,66.5,0.225271668822769,"False",29.5
"2224","LRPPRC",15,17,83,75,0.470718027062418,"False",8
"2225","LRR1",10,16,65.5,51.5,0.398058191018343,"False",14
"2232","LRRC40",5,8,110,46.5,0,"True",63.5
"2233","LRRC41",8,12,196,136,0.0810344827586208,"False",60
"2237","LRRC58",7,5,194,164,0.335334947538337,"False",30
"2238","LRRC59",9,9,72,134,0.0393347639484979,"True",62
"2239","LRRC75A-AS1",139,148,107,108.5,0.502149579831933,"False",1.5
"2242","LRRN1",5,18,124,133.5,0.468126660761736,"False",9.5
"2244","LSM1",35,41,86,103,0.410509898020396,"False",17
"2245","LSM10",21,17,99,88,0.451582341269841,"False",11
"2246","LSM14A",8,18,76,130.5,0.0604950495049505,"False",54.5
"2247","LSM2",21,41,90,99,0.464157458563536,"False",9
"2248","LSM3",99,181,74,80,0.478152480839048,"False",6
"2249","LSM4",14,31,100,106,0.483303606048856,"False",6
"2250","LSM5",38,33,83,120,0.163205342237062,"False",37
"2251","LSM6",23,24,69,90.5,0.330474814203138,"False",21.5
"2252","LSM7",5,26,66,115,0.0393347639484979,"True",49
"2253","LSM8",15,6,119,155.5,0.222255291005291,"False",36.5
"2254","LTA4H",23,14,76,86.5,0.45021052631579,"False",10.5
"2255","LUC7L",8,9,149,183,0.261390374331551,"False",34
"2257","LUC7L3",6,20,161,116,0.128053892215569,"False",45
"2258","LY6E",7,6,131,142,0.453206012814194,"False",11
"2259","LYAR",8,9,100,85,0.413716735659373,"False",15
"2260","LYPLA1",24,20,105.5,87,0.369503239740821,"False",18.5
"2261","LYPLA2",20,37,76,76,0.503380681818182,"False",0
"2262","LYPLAL1",6,6,109.5,117.5,0.472017167381974,"False",8
"2263","LYRM1",5,11,95,68,0.255142857142857,"False",27
"2264","LYRM2",11,31,109,66,0.135385356454721,"False",43
"2265","LYRM4",12,28,70,85.5,0.393871073298429,"False",15.5
"2266","LYRM5",9,16,41,108.5,0,"True",67.5
"2272","MAD2L1",47,40,90,130,0.163205342237062,"False",40
"2273","MAD2L1BP",16,26,104,139,0.217627688172043,"False",35
"2274","MAD2L2",14,43,111,89,0.324673640167364,"False",22
"2276","MAGED1",19,56,102,101.5,0.518697865353038,"False",0.5
"2277","MAGED2",38,116,92.5,94,0.502514237855946,"False",1.5
"2278","MAGEF1",7,21,109,134,0.324673640167364,"False",25
"2280","MAGI1",5,6,139,102,0.199436201780416,"False",37
"2281","MAGOH",9,11,78,113,0.185714285714286,"False",35
"2282","MAGOHB",9,21,93,138,0.139127134724858,"False",45
"2284","MAML1",5,6,255,70.5,0,"True",184.5
"2285","MANBAL",40,48,86.5,81.5,0.480277777777778,"False",5
"2287","MANF",13,18,101,54.5,0.0889805825242719,"False",46.5
"2288","MAP1B",7,25,186,131,0.0759530386740332,"False",55
"2289","MAP1S",10,7,193.5,172,0.4042,"False",21.5
"2290","MAP2",17,25,127,76,0.0759530386740332,"False",51
"2291","MAP2K4",5,10,116,86,0.257610810810811,"False",30
"2295","MAP3K13",10,18,134,87,0.0810344827586208,"False",47
"2299","MAP4",12,19,129.5,102,0.298736162361624,"False",27.5
"2300","MAP4K4",7,6,153,136.5,0.428591470258137,"False",16.5
"2301","MAP7D1",8,21,98,162,0.0462878787878788,"True",64
"2302","MAPK1",6,7,87,78,0.457300334768053,"False",9
"2303","MAPK1IP1L",12,18,124,142.5,0.40931790499391,"False",18.5
"2304","MAPK3",5,5,142,153,0.468657142857143,"False",11
"2305","MAPK6",8,22,101.5,93.5,0.471515477214101,"False",8
"2306","MAPK7",7,9,178,220,0.237281553398058,"False",42
"2309","MAPKAPK3",16,20,119.5,86.5,0.201281112737921,"False",33
"2311","MAPRE1",65,81,90,74,0.393158240315167,"False",16
"2315","MARCH7",8,6,106,118.5,0.449446410515672,"False",12.5
"2316","MARCKS",24,58,133,118.5,0.429397222222222,"False",14.5
"2317","MARCKSL1",49,68,118,111.5,0.4723147751606,"False",6.5
"2318","MARK2",7,7,152,149,0.496687953054884,"False",3
"2320","MARK4",8,7,177,141,0.247326111744584,"False",36
"2321","MARS",23,36,112,128,0.399558823529412,"False",16
"2324","MASTL",6,5,110,162,0.0859462915601024,"False",52
"2325","MAT2B",19,51,101,118,0.400873756218905,"False",17
"2326","MATR3",20,57,106,103,0.501106433142472,"False",3
"2329","MAZ",59,59,122,129,0.475840927920464,"False",7
"2331","MBD4",5,13,242,80,0,"True",162
"2339","MCFD2",9,12,91,113.5,0.321852166525064,"False",22.5
"2340","MCL1",66,218,108,119,0.449446410515672,"False",11
"2342","MCM2",8,14,68.5,117.5,0.0943349168646082,"False",49
"2343","MCM3",15,18,119,127.5,0.475164835164835,"False",8.5
"2345","MCM4",7,13,89,119,0.241944444444444,"False",30
"2346","MCM5",13,21,126,114,0.444795336787565,"False",12
"2347","MCM6",8,14,64,150.5,0,"True",86.5
"2348","MCM7",65,98,96,109,0.444795336787565,"False",13
"2350","MCRS1",32,37,118.5,148,0.282420477137177,"False",29.5
"2351","MCTS1",10,17,105.5,80,0.306046511627907,"False",25.5
"2353","MDC1",8,6,143,126.5,0.421990713871155,"False",16.5
"2354","MDH1",404,462,98.5,84.5,0.413716735659373,"False",14
"2355","MDH2",407,168,105,93.5,0.451063563563564,"False",11.5
"2356","MDK",181,821,111,111,0.498796673455533,"False",0
"2358","ME2",5,9,152,105,0.115525210084034,"False",47
"2359","MEA1",103,121,79,82,0.490434782608696,"False",3
"2360","MEAF6",8,21,53.5,88,0.139127134724858,"False",34.5
"2361","MED10",26,24,102,137.5,0.205709169054441,"False",35.5
"2362","MED11",9,13,74,84,0.449356486210419,"False",10
"2368","MED20",15,19,110,131,0.365007241129616,"False",21
"2369","MED21",9,27,112,55,0,"True",57
"2374","MED27",8,8,117.5,81,0.153013816925734,"False",36.5
"2375","MED28",37,61,101,114,0.429397222222222,"False",13
"2376","MED29",7,19,140,123,0.422782281412855,"False",17
"2378","MED31",7,7,182,147,0.259510752688172,"False",35
"2379","MED4",22,45,107.5,124,0.398227329974811,"False",16.5
"2380","MED8",13,17,89,72,0.382134602311353,"False",17
"2381","MEGF8",13,29,179,160,0.431115107913669,"False",19
"2382","MELK",15,14,133,65,0.0167857142857143,"True",68
"2385","MESDC2",25,84,82,117.5,0.169722222222222,"False",35.5
"2387","METAP1",11,9,104,97,0.477460317460318,"False",7
"2388","METAP2",21,30,73,89,0.41780829924021,"False",16
"2391","METTL12",43,44,230,236.5,0.489898838516298,"False",6.5
"2392","METTL13",6,5,120.5,86,0.207118644067797,"False",34.5
"2394","METTL17",18,17,60.5,109,0.0604950495049505,"False",48.5
"2396","METTL22",7,8,81,125,0.135385356454721,"False",44
"2398","METTL3",7,5,137,109,0.303020739404869,"False",28
"2399","METTL5",30,21,57.5,80,0.286223709369025,"False",22.5
"2400","METTL6",13,6,98,86,0.42546803652968,"False",12
"2401","METTL9",9,24,115,77.5,0.159436026936027,"False",37.5
"2404","MEX3C",7,6,68,160,0,"True",92
"2405","MFAP1",12,28,75.5,121.5,0.0889805825242719,"False",46
"2406","MFAP2",14,46,63.5,108,0.0810344827586208,"False",44.5
"2407","MFF",9,20,60,62,0.496687953054884,"False",2
"2408","MFGE8",7,18,142,122.5,0.400873756218905,"False",19.5
"2409","MFN2",10,9,102,92,0.452816205533597,"False",10
"2415","MGAT1",11,17,122,100,0.35437073540561,"False",22
"2418","MGST1",130,45,111,135,0.324673640167364,"False",24
"2419","MGST3",18,47,71.5,112,0.135385356454721,"False",40.5
"2420","MIAT",6,6,357,166,0,"True",191
"2424","MID1",6,27,156,112,0.148765217391304,"False",44
"2428","MIEN1",18,34,107,95.5,0.444795336787565,"False",11.5
"2434","MIOS",6,6,101.5,54.5,0.0759530386740332,"False",47
"2438","MIR4458HG",10,9,93.5,114,0.36268390386016,"False",20.5
"2441","MITD1",9,5,114,134,0.398058191018343,"False",20
"2443","MKKS",23,20,111,98,0.4323897659227,"False",13
"2444","MKLN1",7,14,71,98.5,0.263694736842105,"False",27.5
"2446","MKRN2",7,8,116,56,0.0290952380952381,"True",60
"2449","MLEC",23,38,127,138,0.449446410515672,"False",11
"2450","MLF1",14,35,71.5,78,0.472017167381974,"False",6.5
"2451","MLF2",23,21,141,86,0.0706358381502891,"False",55
"2452","MLH1",6,16,176,85,0,"True",91
"2454","MLLT11",241,321,101,81,0.337555643879173,"False",20
"2457","MLX",18,15,96,190,0,"True",94
"2459","MMAB",5,16,90,105.5,0.405712974296206,"False",15.5
"2460","MMADHC",28,45,60.5,85,0.292043111527648,"False",24.5
"2462","MMP2",6,10,122,170.5,0.105800865800866,"False",48.5
"2466","MND1",6,8,52.5,104.5,0.0167857142857143,"True",52
"2467","MOB1A",24,24,96,112.5,0.398058191018343,"False",16.5
"2472","MORF4L1",136,305,91,87,0.493602620087336,"False",4
"2473","MORF4L2",32,140,104.5,102,0.486287128712871,"False",2.5
"2476","MORN4",8,7,146.5,92,0.0462878787878788,"True",54.5
"2479","MPC1",15,23,55,48,0.470205509400962,"False",7
"2483","MPHOSPH6",57,61,86,114,0.263694736842105,"False",28
"2487","MPRIP",7,10,83,87,0.491544550810015,"False",4
"2489","MPV17",22,39,125,95,0.243826291079812,"False",30
"2491","MPZL1",5,8,109,113,0.488522167487685,"False",4
"2494","MRFAP1",9,30,99,83,0.41195107398568,"False",16
"2495","MRFAP1L1",24,33,73.5,88,0.405331695331695,"False",14.5
"2496","MRGBP",7,7,159,117,0.147032085561497,"False",42
"2499","MRPL10",9,17,62,68,0.475476487723679,"False",6
"2500","MRPL11",136,195,89,73,0.40931790499391,"False",16
"2501","MRPL13",55,68,81,89.5,0.457220885466795,"False",8.5
"2502","MRPL14",41,60,111,121.5,0.454621909840039,"False",10.5
"2503","MRPL15",20,30,73.5,73,0.534,"False",0.5
"2504","MRPL16",13,20,140,117.5,0.35437073540561,"False",22.5
"2505","MRPL17",49,68,77,100,0.336442926045016,"False",23
"2506","MRPL18",49,45,98,141,0.178007874015748,"False",43
"2507","MRPL19",17,10,112,151,0.201281112737921,"False",39
"2508","MRPL2",12,15,141.5,130,0.454621909840039,"False",11.5
"2509","MRPL20",53,48,100,86.5,0.430377149195785,"False",13.5
"2510","MRPL21",31,91,118,82,0.181674491392801,"False",36
"2511","MRPL22",79,131,112,91,0.335334947538337,"False",21
"2512","MRPL24",34,49,105,113,0.476317204301075,"False",8
"2513","MRPL27",75,94,105,96.5,0.471515477214101,"False",8.5
"2514","MRPL3",29,18,66,96.5,0.237281553398058,"False",30.5
"2516","MRPL32",17,16,81,53,0.199436201780416,"False",28
"2517","MRPL33",32,39,108.5,116,0.471515477214101,"False",7.5
"2518","MRPL34",6,8,150,134.5,0.438304674905965,"False",15.5
"2519","MRPL35",23,20,82,92.5,0.453979892103973,"False",10.5
"2520","MRPL36",104,82,95,108.5,0.428319256756757,"False",13.5
"2521","MRPL37",17,22,105,91.5,0.426279069767442,"False",13.5
"2522","MRPL39",58,38,80,113.5,0.232362842892768,"False",33.5
"2524","MRPL40",18,33,74.5,70,0.491544550810015,"False",4.5
"2526","MRPL42",195,257,82,83,0.496910247592847,"False",1
"2527","MRPL43",5,23,166,97,0.0167857142857143,"True",69
"2528","MRPL44",12,8,56.5,138,0,"True",81.5
"2529","MRPL45",29,26,90,80,0.460244869402985,"False",10
"2530","MRPL47",34,40,63,75,0.425511654349062,"False",12
"2531","MRPL48",38,39,78.5,94,0.412642180094787,"False",15.5
"2532","MRPL49",25,27,99,93,0.475560398505604,"False",6
"2533","MRPL50",18,28,119,113,0.475560398505604,"False",6
"2534","MRPL51",128,176,79,93,0.42546803652968,"False",14
"2535","MRPL52",25,33,104,126,0.349612135176651,"False",22
"2536","MRPL54",11,20,77,94.5,0.398227329974811,"False",17.5
"2537","MRPL55",23,37,95,90,0.48268051242236,"False",5
"2538","MRPL57",21,60,109,130,0.381875,"False",21
"2539","MRPL9",6,12,108.5,81.5,0.271209183673469,"False",27
"2540","MRPS10",20,11,96,80,0.396238651102464,"False",16
"2541","MRPS11",19,30,120,79,0.142225325884544,"False",41
"2542","MRPS12",20,10,101,124,0.355608465608466,"False",23
"2543","MRPS14",21,41,98,121,0.344494909945184,"False",23
"2544","MRPS15",42,33,85.5,84,0.502149579831933,"False",1.5
"2545","MRPS16",21,17,125,65,0.0167857142857143,"True",60
"2546","MRPS18A",33,36,99,96,0.493602620087336,"False",3
"2547","MRPS18B",26,17,86,85,0.4982,"False",1
"2548","MRPS18C",45,89,76,77,0.498222449675878,"False",1
"2549","MRPS21",140,110,92.5,90.5,0.495550668543279,"False",2
"2550","MRPS22",10,11,50.5,94,0.0706358381502891,"False",43.5
"2551","MRPS23",34,18,84,107.5,0.312443181818182,"False",23.5
"2552","MRPS25",30,37,87.5,84,0.490392923649907,"False",3.5
"2554","MRPS27",10,14,155,105.5,0.100936123348018,"False",49.5
