"","gene","cntA","cntB","med_pa_len_A","med_pa_len_B","iso_pa_pval","iso_pa_sig","iso_pa_diff"
"1229","DUSP14",8,14,158.5,120.5,0.235863970588235,"False",38
"1234","DYM",7,7,108,118,0.451582341269841,"False",10
"1235","DYNC1H1",10,15,92,137,0.128053892215569,"False",45
"1236","DYNC1I2",14,28,60,77.5,0.356033834586466,"False",17.5
"1237","DYNC1LI1",10,18,87,111,0.289299242424242,"False",24
"1238","DYNC1LI2",6,10,138.5,98,0.14415607985481,"False",40.5
"1239","DYNC2LI1",7,8,56,80,0.276888217522659,"False",24
"1240","DYNLL1",81,104,73,109.5,0.14415607985481,"False",36.5
"1241","DYNLL2",6,17,64,137,0,"True",73
"1242","DYNLRB1",16,46,101,110,0.46552380952381,"False",9
"1243","DYNLT1",48,88,90,81,0.457220885466795,"False",9
"1245","E2F1",8,27,151.5,178,0.348397982932506,"False",26.5
"1247","E2F4",7,10,154,175,0.398058191018343,"False",21
"1250","EAPP",6,20,72,104,0.210689655172414,"False",32
"1251","EBAG9",5,6,88,169.5,0,"True",81.5
"1252","EBNA1BP2",37,25,78,76,0.496687953054884,"False",2
"1253","EBP",62,54,119.5,97,0.3473753894081,"False",22.5
"1255","ECD",7,5,131,111,0.365007241129616,"False",20
"1257","ECHDC1",8,18,71,70.5,0.498817750677507,"False",0.5
"1258","ECHS1",116,105,93,93,0.526517038007864,"False",0
"1259","ECI2",69,73,103,88,0.42435446685879,"False",15
"1260","ECSIT",5,14,77,82,0.477460317460318,"False",5
"1261","ECT2",5,15,121,120,0.496687953054884,"False",1
"1263","EDF1",88,121,114.5,115,0.507310241962214,"False",0.5
"1265","EED",15,15,87,79,0.460244869402985,"False",8
"1266","EEF1A1",939,1136,85,78.5,0.467348826714801,"False",6.5
"1267","EEF1A1P5",69,98,68,54,0.398058191018343,"False",14
"1269","EEF1B2",142,140,68,70.5,0.491764057331863,"False",2.5
"1270","EEF1D",120,102,88.5,94,0.481740827478532,"False",5.5
"1272","EEF2",75,83,93,107,0.428861856823266,"False",14
"1273","EEF2K",19,21,145,134,0.459923773225345,"False",11
"1277","EFHC1",5,14,64,97.5,0.174294770206022,"False",33.5
"1278","EFHD2",11,17,164,201,0.263694736842105,"False",37
"1280","EFNB2",9,7,152,103,0.0943349168646082,"False",49
"1283","EFTUD2",8,19,88.5,115,0.292043111527648,"False",26.5
"1287","EHMT2",12,29,153.5,195,0.235863970588235,"False",41.5
"1288","EI24",5,21,67,55,0.424890804597701,"False",12
"1289","EID1",11,34,91,93,0.496687953054884,"False",2
"1290","EIF1",84,115,100,108,0.471515477214101,"False",8
"1292","EIF1AX",14,45,75.5,89,0.431884931506849,"False",13.5
"1293","EIF1B",26,55,92,72,0.348604471858134,"False",20
